Participant,Duration (in seconds),Recorded Date,Response ID,PuPSafeword,PuPNegotiation,PuPLeadNegotiation,PuPBottomAdd,PuPBottomRemove,PuPTopAdd,PuPTopRemove,PuPjump,PuPnonverbal,PuPsafewordNotDiscussed,PuPtopDrugs,PuPbottomDrugs,PuPsatisfaction,PuPengage,RRSafeword,RRNegotiation,RRLeadNegotiation,RRBottomAdd,RRBottomRemove,RRTopAdd,RRTopRemove,RRjump,RRnonverbal,RRsafewordNotDiscussed,RRtopDrugs,RRbottomDrugs,RRsatisfaction,RRengage,ExpNegKinkVan,ExpNegRisk,IntoxicatedBDSMnew,IntoxicatedBDSMexist,IntoxicatedVanNew,IntoxicatedVanExist,SafewordNew,SafewordExist,ViolateLimitBDSM,SafewordIgnored,ViolateBoundaryVanilla,Gender,Male,Female,Nonbinary,Transwoman,Transman,Gendernonconforming,Genderfluid,Genderqueer,TwoSpirit,Intersex,Agender,OtherGender,SexualOrientation,Pansexual,Heterosexual,Queer,Gay,Homoflexible,Heteroflexible,Bisexual,Asexual,Aromantic,Greysexual,Demisexual,OtherSO,Race,RaceCode,NativeAmerican,Asian,Black,Hispanic,MiddleEastern,PacificIslander,White,OtherRace,USorNot,Age,FirstKinkAge,Roles,Top,Bottom,Switch,Sadist,Masochist,Master,Slave,Dominant,Submissive,NonMonogamy,Relationship,Single,PlayPartner,Dating,Engaged,Married,LivingTogether,OtherRelationship,CNC,ConsentEd,ConsentEdRecoded,ConsentCode,SchoolConsentEd,KinkConsentEd,OtherConsentEd,InformalConsentEd,UnsureConsentEd,NoConsentEd
107,1550,4/24/2020 11:12,R_1rCAzk6dp81STlS,5,4,4,8,7,7,7,3,5,5,1,1,4,1,5,5,4,7,7,7,7,6,7,6,1,1,4,1,6,6,1,1,1,1,4,5,1,1,1,1,1,,,,,,,,,,,,5,,,,,1,,,,,,,,7,7,,,,,,,1,,1,27,20,"1,2,3",1,1,1,,,,,,,1,6,,,,,,1,,1,2,2,2,,1,,,,
108,845,4/24/2020 11:12,R_1QuBoFT4DFKXK74,5,4,4,2,7,2,7,1,1,1,1,1,4,1,4,4,4,1,7,1,7,3,2,1,1,1,4,1,7,6,1,2,1,2,5,5,1,1,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,38,16,"2,5,7,9",,1,,,1,,1,,1,1,"2,3,5,6,7",,1,1,,1,1,1,1,"2,4","2,4",2,,1,,1,,
109,502,4/24/2020 11:12,R_2tmVYVX9NTgfut7,5,4,4,5,6,3,6,3,3,4,5,5,4,2,4,4,5,6,6,4,5,3,5,4,5,5,4,2,4,7,2,3,2,3,3,4,,,1,2,,1,,,,,,,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,1,48,47,"2,3",,1,1,,,,,,,1,1,1,,,,,,,2,6,6,0,,,,,,1
110,667,4/24/2020 11:12,R_UxpUpsE1PgXDfah,5,5,4,1,7,1,7,1,3,1,1,1,4,1,5,4,4,3,7,3,6,5,7,2,1,2,4,1,6,7,1,2,2,2,5,5,1,2,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,39,37,"1,2,3,4,5",1,1,1,1,1,,,,,1,2,,1,,,,,,2,2,2,2,,1,,,,
111,350,4/24/2020 11:12,R_29gCnRJ6vQeJ2J5,5,5,4,6,2,3,2,2,7,4,4,4,4,1,5,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,1,5,3,3,3,3,"3,7,8",,,1,,,,1,1,,,,,"1,4,7,11",1,,,1,,,1,,,,1,,7,7,,,,,,,1,,1,39,19,"2,5,7",,1,,,1,,1,,,1,4,,,,1,,,,2,"2,4","2,4",2,,1,,1,,
112,2121,4/24/2020 11:12,R_bBdKplWXzQjoxA5,5,4,4,8,7,5,7,3,2,2,2,2,4,1,4,4,4,7,7,3,7,6,6,6,6,6,4,1,4,5,2,2,2,2,4,2,1,1,1,3,,,1,,,,,,,,,,"1,3,7,11",1,,1,,,,1,,,,1,,7,7,,,,,,,1,,1,35,16,"2,3,9",,1,1,,,,,,1,1,"6,7",,,,,,1,1,1,"2,4","2,4",2,,1,,1,,
113,3119,4/24/2020 11:12,R_1qglZU5nziD9jKY,5,4,2,6,6,6,6,2,2,5,3,3,4,1,5,2,3,4,6,5,4,1,5,5,2,5,4,1,4,6,2,2,2,2,5,5,2,2,2,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,59,27,"2,5,9",,1,,,1,,,,1,1,"4,6",,,,1,,1,,2,6,6,0,,,,,,1
114,1000,4/24/2020 11:12,R_2QsOpccpxemg9vc,5,5,4,2,6,2,6,1,2,2,1,1,4,1,5,4,4,4,6,3,6,4,4,3,1,1,4,2,4,7,1,1,1,1,5,4,2,2,,1,1,,,,,,,,,,,,"2,6,12",,1,,,,1,,,,,,1,7,7,,,,,,,1,,1,24,24,"3,9",,,1,,,,,,1,1,1,1,,,,,,,3,4,4,0,,,,1,,
115,2369,4/24/2020 11:12,R_D1TxnikEWj0qzYd,5,5,4,1,7,1,7,1,7,1,1,1,4,2,3,5,4,1,7,1,7,1,7,1,1,1,4,1,6,7,1,1,1,1,5,5,2,2,2,"3,8",,,1,,,,,1,,,,,"1,11",1,,,,,,,,,,1,,"1,7","1,7",1,,,,,,1,,1,34,24,"1,3",1,,1,,,,,,,1,"3,6",,,1,,,1,,2,"2,3,4","2,3,4",2,,1,1,1,,
116,576,4/24/2020 11:12,R_22FaNK25omgwhoN,5,5,4,5,7,3,7,2,1,2,2,1,4,2,4,3,4,5,6,3,6,4,2,2,5,5,4,1,6,7,1,2,2,4,4,3,2,2,1,"6,8",,,,,,1,,1,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,0,32,19,"2,9",,1,,,,,,,1,2,5,,,,,1,,,1,6,6,0,,,,,,1
117,2661,4/24/2020 11:12,R_pFWJW6VJTUwgL3X,4,5,4,2,7,5,6,2,7,3,1,1,1,1,4,3,5,6,6,6,7,1,7,6,1,1,4,1,7,7,1,1,2,3,5,4,2,1,2,8,,,,,,,,1,,,,,8,,,,,,,,1,,,,,7,7,,,,,,,1,,0,52,37,"1,4",1,,,1,,,,,,2,1,1,,,,,,,1,6,6,0,,,,,,1
118,662,4/24/2020 11:12,R_3Hp5jCAWCmyf2uw,4,5,4,6,7,3,7,2,2,2,1,1,4,2,4,4,5,5,7,4,7,5,3,1,6,6,4,1,4,7,2,2,2,3,5,3,2,2,2,"3,6,12",,,1,,,1,,,,,,1,"4,12",,,,1,,,,,,,,1,7,7,,,,,,,1,,1,20,,"1,2,3,8,9",1,1,1,,,,,1,1,2,"4,6",,,,1,,1,,2,4,4,0,,,,1,,
119,860,4/24/2020 11:12,R_3LjddYCqRRzeGe5,1,1,7,1,1,7,7,7,7,4,1,1,7,1,1,1,1,6,1,7,1,1,7,7,1,1,7,1,7,7,1,1,1,1,1,1,2,2,,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,8,7,,,,,,,,1,0,58,15,"1,7",1,,,,,,1,,,1,7,,,,,,,1,1,"3,6","3,6",0,,,1,,,1
120,615,4/24/2020 11:12,R_urFfCzBxbu4PAvT,5,5,4,2,7,2,7,2,2,1,5,5,4,1,5,5,4,5,7,5,7,6,6,2,6,6,4,1,5,6,1,2,2,3,5,5,2,2,1,"2,8,9",,1,,,,,,1,1,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,1,32,16,"1,3,4,8",1,,1,1,,,,1,,1,6,,,,,,1,,2,2,2,2,,1,,,,
121,1716,4/24/2020 11:12,R_b72y8rXLkC87ddf,5,5,4,2,7,2,7,2,2,2,1,1,4,1,2,2,4,7,6,6,6,7,7,6,2,2,4,1,7,7,1,2,2,3,4,2,2,2,1,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,49,34,"1,2,3,5,8",1,1,1,,1,,,1,,1,7,,,,,,,1,1,2,2,2,,1,,,,
122,1007,4/24/2020 11:12,R_bawgfdyb9A6MLiV,5,5,5,5,7,3,7,2,5,2,1,1,4,2,5,5,5,6,7,3,7,4,6,2,2,3,4,1,6,7,1,2,2,3,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,31,26,6,,,,,,1,,,,1,"1,2",1,1,,,,,,3,2,2,2,,1,,,,
123,852,4/24/2020 11:12,R_SUzKyuf1gJUitxL,4,4,4,7,7,7,7,4,1,1,1,1,4,1,3,3,4,7,7,7,7,1,2,2,1,1,4,1,5,4,2,2,2,2,4,4,1,3,1,"1,3",1,,1,,,,,,,,,,"4,5",,,,1,1,,,,,,,,7,7,,,,,,,1,,1,33,20,"1,3,8,9",1,,1,,,,,1,1,1,"4,6",,,,1,,1,,1,2,2,2,,1,,,,
124,490,4/24/2020 11:12,R_W1k5GL7iTwekalP,5,4,6,8,7,7,3,1,2,1,1,1,4,2,5,3,4,7,6,6,6,1,5,7,1,5,4,1,7,7,1,1,1,3,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,46,25,"1,8",1,,,,,,,1,,2,5,,,,,1,,,2,4,4,0,,,,1,,
125,746,4/24/2020 11:12,R_UMv8AM1FdDUZzih,5,5,4,4,7,4,7,1,3,1,1,1,4,2,5,5,4,6,7,6,7,1,3,1,1,1,4,1,7,7,1,1,1,1,5,5,2,2,2,5,,,,,1,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,30,25,"1,2,3,5,9",1,1,1,,1,,,,1,1,7,,,,,,,1,2,1,1,0,1,,,,,
126,858,4/24/2020 11:13,R_RgCu9YlvSWRL637,5,5,4,2,7,2,7,1,2,1,1,1,4,2,4,3,4,6,7,6,7,6,5,4,5,5,4,1,7,7,1,2,1,2,5,5,2,2,1,"2,3",,1,1,,,,,,,,,,"7,10",,,,,,,1,,,1,,,7,7,,,,,,,1,,1,21,19,"5,7,9",,,,,1,,1,,1,1,6,,,,,,1,,1,2,2,2,,1,,,,
127,905,4/24/2020 11:13,R_DHVm8al0jdd3jGx,5,4,5,4,7,6,7,1,2,2,1,1,4,1,5,3,5,2,7,2,7,2,6,6,1,1,4,1,7,7,1,1,2,2,5,5,2,2,2,1,1,,,,,,,,,,,,"2,6",,1,,,,1,,,,,,,7,7,,,,,,,1,,1,72,40,"2,7,9",,1,,,,,1,,1,1,5,,,,,1,,,2,2,2,2,,1,,,,
128,2327,4/24/2020 11:13,R_C46tRyJxx2ZNrGh,5,5,4,6,7,5,7,1,1,1,1,1,4,1,5,5,4,7,7,5,4,2,7,3,1,1,4,1,7,7,1,1,1,1,5,5,1,2,2,1,1,,,,,,,,,,,,"2,6,10",,1,,,,1,,,,1,,,7,7,,,,,,,1,,1,78,29,6,,,,,,1,,,,1,7,,,,,,,1,2,2,2,2,,1,,,,
129,879,4/24/2020 11:13,R_1o26NAIprLfh3hZ,5,5,4,4,6,3,6,1,1,1,1,1,4,2,4,4,3,6,7,6,5,1,6,6,1,2,4,1,4,7,1,2,1,2,3,1,2,2,2,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,26,,"2,9",,1,,,,,,,1,2,5,,,,,1,,,3,4,4,0,,,,1,,
130,1556,4/24/2020 11:13,R_Z7Tp5nIMjZZyVnr,5,5,4,8,7,7,7,1,7,1,1,1,4,1,1,3,6,7,7,7,7,7,7,7,1,1,4,1,7,6,1,1,1,2,5,1,1,1,1,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,0,58,46,7,,,,,,,1,,,2,5,,,,,1,,,2,4,4,0,,,,1,,
131,2675,4/24/2020 11:13,R_1jy5qcfdXZmWZ2j,5,5,4,3,6,2,6,2,2,1,2,3,4,2,4,4,4,6,6,6,6,6,7,7,6,6,4,1,7,7,2,4,2,4,5,2,2,2,1,"1,12",1,,,,,,,,,,,1,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,56,10,"2,3,9",,1,1,,,,,,1,2,5,,,,,1,,,3,4,4,0,,,,1,,
132,695,4/24/2020 11:13,R_R4CCxlUQHZvutMZ,5,5,7,2,5,7,7,3,7,5,3,3,4,1,5,5,6,7,7,7,7,5,6,5,3,3,4,1,7,7,2,3,1,2,5,5,1,1,2,1,1,,,,,,,,,,,,"4,7",,,,1,,,1,,,,,,7,7,,,,,,,1,,1,37,16,"1,6,8",1,,,,,1,,1,,2,3,,,1,,,,,4,2,2,2,,1,,,,
133,565,4/24/2020 11:13,R_Df4uNNAdbwzux1L,5,5,4,6,7,6,7,5,5,1,1,1,4,1,4,4,4,6,7,6,7,6,6,1,1,1,4,1,7,7,1,2,2,3,5,4,1,,1,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,0,64,20,"1,4,6,8",1,,,1,,1,,1,,1,1,1,,,,,,,1,2,2,2,,1,,,,
134,1471,4/24/2020 11:13,R_Ap1GinpkszDVRGF,2,4,4,6,7,3,6,5,2,2,2,2,4,1,2,3,4,6,6,6,6,6,5,1,3,3,4,1,5,6,1,2,2,2,2,2,1,3,3,1,1,,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,0,55,28,3,,,1,,,,,,,2,6,,,,,,1,,2,"2,4","2,4",2,,1,,1,,
135,662,4/24/2020 11:13,R_1kSwzvOJqb7GT9q,5,5,4,6,6,6,6,6,6,1,5,5,4,1,5,5,4,6,6,6,6,1,5,1,5,5,2,1,4,7,3,3,2,3,5,5,2,2,2,"1,2,3",1,1,1,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,55,,,,,,,,,,,,3,5,,,,,1,,,2,2,2,2,,1,,,,
136,1000,4/24/2020 11:13,R_1eOwtO2zcN56QeM,4,4,4,4,7,4,7,3,3,1,1,1,4,2,4,3,4,6,7,6,7,5,5,3,1,1,4,1,5,7,1,1,1,1,3,4,2,2,2,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,8,8,,,,,,,,1,1,25,19,9,,,,,,,,,1,2,2,,1,,,,,,3,3,3,0,,,1,,,
137,1383,4/24/2020 11:13,R_1imuP97WUWt5UQK,5,5,4,3,7,1,7,1,1,1,1,1,4,1,3,3,4,7,7,7,7,6,2,3,1,1,4,1,4,4,1,2,1,2,5,3,1,2,1,2,,1,,,,,,,,,,,"3,7",,,1,,,,1,,,,,,7,7,,,,,,,1,,1,30,18,"2,5",,1,,,1,,,,,2,"6,7",,,,,,1,1,1,"2,4","2,4",2,,1,,1,,
138,973,4/24/2020 11:13,R_3han3rMdHutJQgz,5,5,4,2,7,2,7,2,6,1,1,1,4,1,4,5,4,6,7,6,7,6,6,3,1,1,4,1,4,7,1,1,1,1,5,5,2,2,1,2,,1,,,,,,,,,,,"1,3,11",1,,1,,,,,,,,1,,7,7,,,,,,,1,,1,40,29,"2,3,5,9",,1,1,,1,,,,1,1,"2,3,6",,1,1,,,1,,3,"1,2,4","1,2,4",2,1,1,,1,,
139,989,4/24/2020 11:13,R_3ssK4vcARcDcfB3,5,4,4,8,7,7,7,1,1,2,2,2,4,1,4,4,4,7,7,7,7,5,4,5,5,5,3,1,6,5,2,3,2,3,4,3,2,,,"3,5",,,1,,1,,,,,,,,"8,9",,,,,,,,1,1,,,,"4,7","4,7",,,,1,,,1,,1,23,19,"2,9",,1,,,,,,,1,1,1,1,,,,,,,3,"2,4","2,4",2,,1,,1,,
140,1604,4/24/2020 11:13,R_1d0JmdP9WQNncTn,5,5,4,5,7,5,3,2,7,1,1,1,4,1,5,4,4,5,3,4,3,7,7,7,5,4,4,1,7,6,1,1,1,1,4,1,2,2,2,7,,,,,,,1,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,,63,13,"1,3,4,5,9",1,,1,1,1,,,,1,1,1,1,,,,,,,1,2,2,2,,1,,,,
141,814,4/24/2020 11:13,R_vlgcCcpTa0y9VQt,5,5,4,2,7,2,7,3,1,1,2,2,4,1,5,3,4,2,7,2,7,4,2,1,3,3,4,1,6,7,1,2,2,3,5,5,3,2,2,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,39,30,"3,5,9",,,1,,1,,,,1,1,5,,,,,1,,,3,2,2,2,,1,,,,
142,1075,4/24/2020 11:13,R_veJafaZITa7JGCd,5,4,4,2,7,2,7,2,3,1,1,1,4,1,4,3,4,6,7,6,7,6,6,3,1,1,4,1,5,7,1,2,1,2,5,5,1,2,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,42,,"2,5,9",,1,,,1,,,,1,1,"3,6,7",,,1,,,1,1,2,"2,4","2,4",2,,1,,1,,
143,1104,4/24/2020 11:13,R_1N3b9O5SHl131a2,5,5,4,4,7,4,7,2,4,1,2,2,4,2,4,4,4,6,6,6,6,7,7,6,4,4,4,1,4,7,1,2,2,2,5,2,2,2,1,2,,1,,,,,,,,,,,"7,8",,,,,,,1,1,,,,,7,7,,,,,,,1,,1,34,15,"2,3,9",,1,1,,,,,,1,1,"5,7",,,,,1,,1,1,2,2,2,,1,,,,
144,1011,4/24/2020 11:13,R_1hzno1fpnT8GaCp,2,4,4,7,7,6,4,2,6,6,1,1,4,2,1,3,5,7,7,5,7,6,6,6,2,5,4,1,6,7,1,2,1,3,4,1,3,2,1,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,52,22,"3,7,9",,,1,,,,1,,1,3,"3,7",,,1,,,,1,1,6,6,0,,,,,,1
145,1120,4/24/2020 11:13,R_RKowNknDcPyBIjf,4,4,4,7,6,6,7,3,5,2,2,2,4,1,4,4,4,7,7,7,7,3,5,6,3,3,4,1,4,6,1,2,1,3,5,4,1,2,1,"2,3,7,8",,1,1,,,,1,1,,,,,"1,3,7",1,,1,,,,1,,,,,,7,7,,,,,,,1,,1,29,19,"1,3,4,5,9",1,,1,1,1,,,,1,1,"3,4",,,1,1,,,,3,"1,2,4","1,2,4",2,1,1,,1,,
146,914,4/24/2020 11:13,R_1IgZEN8sDtJceyq,2,3,3,6,6,6,6,3,5,6,1,1,4,1,1,3,4,6,6,6,6,4,5,6,1,1,4,1,5,6,1,2,2,3,2,1,2,2,2,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,68,26,"2,5,7,9",,1,,,1,,1,,1,1,7,,,,,,,1,1,3,3,0,,,1,,,
147,832,4/24/2020 11:13,R_1dL8MdjmhXQ1c4o,5,4,6,3,7,2,7,2,2,1,3,3,4,1,5,3,4,2,7,2,7,2,6,1,3,3,4,1,4,7,1,2,2,2,5,5,2,2,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,"4,7","4,7",,,,1,,,1,,1,31,2013,"2,5,9",,1,,,1,,,,1,1,"3,6",,,1,,,1,,3,2,2,2,,1,,,,
148,943,4/24/2020 11:13,R_3etooZ6O0NECmhS,5,5,4,5,7,2,7,1,1,1,1,1,3,1,5,4,4,7,7,6,6,5,5,1,1,2,2,1,4,4,1,1,1,1,5,5,2,2,1,5,,,,,1,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,32,25,"1,4,8",1,,,1,,,,1,,1,5,,,,,1,,,1,4,4,0,,,,1,,
149,1247,4/24/2020 11:13,R_1LZ1xaQ82XfnHg0,5,5,4,2,7,1,7,1,2,1,1,1,4,1,3,3,4,6,7,5,7,6,6,5,1,1,4,1,7,7,1,2,2,2,5,5,2,2,1,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,42,19,3,,,1,,,,,,,1,4,,,,1,,,,3,"2,4","2,4",2,,1,,1,,
150,717,4/24/2020 11:13,R_1FaKk58tMGv3wnl,5,4,4,6,7,6,7,2,1,2,1,1,4,1,3,4,4,5,7,5,7,3,5,2,1,1,4,1,4,5,1,1,1,1,4,5,1,1,1,"2,3",,1,1,,,,,,,,,,"1,3,7",1,,1,,,,1,,,,,,7,7,,,,,,,1,,1,20,16,"3,4,5",,,1,1,1,,,,,1,6,,,,,,1,,3,"1,4","1,4",0,1,,,1,,
151,545,4/24/2020 11:13,R_1E7r97LrxAZhyeK,5,5,4,2,7,1,6,1,1,1,1,1,4,2,3,3,4,3,6,2,6,1,5,2,1,1,4,1,6,7,1,1,1,1,5,4,2,2,1,2,,1,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,40,36,"2,3,9",,1,1,,,,,,1,2,"3,6",,,1,,,1,,2,2,2,2,,1,,,,
152,21014,4/24/2020 11:13,R_1DM4xnSMQHb96wd,5,4,4,8,7,7,7,3,4,2,4,4,4,1,5,5,4,7,7,7,7,5,7,4,4,4,4,1,4,6,1,2,2,2,5,5,2,2,1,2,,1,,,,,,,,,,,"3,4",,,1,1,,,,,,,,,"2,7","2,7",,1,,,,,1,,1,26,14,"2,5,9",,1,,,1,,,,1,1,"2,3,4,6",,1,1,1,,1,,3,2,2,2,,1,,,,
153,765,4/24/2020 11:13,R_1GVukEhY4keoBpu,4,4,4,7,6,5,6,2,1,5,1,1,4,1,5,2,4,7,7,7,7,7,4,7,2,2,4,1,6,7,1,2,2,3,2,2,2,2,1,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,40,16,"1,2,3,8,9",1,1,1,,,,,1,1,1,"2,3",,1,1,,,,,3,2,2,2,,1,,,,
154,1807,4/24/2020 11:13,R_z6W58BppPYzvKA9,5,5,4,8,7,7,7,5,6,6,1,1,4,1,4,4,4,7,7,7,7,6,6,6,5,5,4,1,4,7,2,3,2,3,5,5,2,2,1,12,,,,,,,,,,,,1,1,1,,,,,,,,,,,,"1,7,8","1,7",1,,,,,,1,1,1,53,6,"1,2,3,4,5,8",1,1,1,1,1,,,1,,1,"5,7",,,,,1,,1,1,"1,2,4","1,2,4",2,1,1,,1,,
155,996,4/24/2020 11:13,R_3D5yHRf59onktqp,5,5,1,1,7,1,7,2,3,1,1,1,4,1,2,3,4,5,7,5,7,7,7,6,1,1,7,1,7,7,1,2,1,2,5,1,1,2,2,2,,1,,,,,,,,,,,"2,5",,1,,,1,,,,,,,,7,7,,,,,,,1,,1,24,18,"2,5,7,9",,1,,,1,,1,,1,1,3,,,1,,,,,1,"1,2","1,2",2,1,1,,,,
156,5108,4/24/2020 11:13,R_pFSMgdxUoMd2guJ,5,5,4,6,6,6,6,2,4,1,1,1,4,1,5,5,4,6,6,6,6,2,6,1,1,1,4,1,6,7,1,1,1,2,5,5,1,1,1,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,47,22,"1,4,6,8",1,,,1,,1,,1,,1,"2,3,5,6",,1,1,,1,1,,2,"2,3,6","2,3,6",2,,1,1,,,1
157,460,4/24/2020 11:13,R_TuQfPANghlqmEKt,5,5,6,6,7,6,6,5,5,4,6,1,4,2,5,5,4,2,6,6,7,6,7,6,2,1,4,1,7,7,2,3,2,4,5,5,1,1,1,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,42,17,9,,,,,,,,,1,2,"2,3",,1,1,,,,,1,4,4,0,,,,1,,
