number,Gender,Orientation,Jealousy
1,1,1,2
2,1,1,2
3,1,1,2
4,1,1,2
5,1,1,2
6,1,1,2
7,1,1,2
8,1,1,2
9,1,1,2
10,1,1,2
11,1,1,2
12,1,1,2
13,1,1,2
14,1,1,2
15,1,1,2
16,1,1,2
17,1,1,2
18,1,1,2
19,1,1,2
20,1,1,2
21,1,1,2
22,1,1,2
23,1,1,2
24,1,1,2
25,1,1,2
26,1,1,2
27,1,1,2
28,1,1,2
29,1,1,2
30,1,1,2
31,1,1,2
32,1,1,2
33,1,1,2
34,1,1,2
35,1,1,2
36,1,1,2
37,1,1,2
38,1,1,2
39,1,1,2
40,1,1,2
41,1,1,2
42,1,1,2
43,1,1,2
44,1,1,2
45,1,1,2
46,1,1,2
47,1,1,2
48,1,1,2
49,1,1,2
50,1,1,2
51,1,1,2
52,1,1,2
53,1,1,2
54,1,1,2
55,1,1,2
56,1,1,2
57,1,1,2
58,1,1,2
59,1,1,2
60,1,1,2
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,2,1,1
103,2,1,1
104,2,1,1
105,2,1,1
106,2,1,1
107,2,1,1
108,2,1,1
109,2,1,1
110,2,1,1
111,2,1,1
112,2,1,1
113,2,1,1
114,2,1,1
115,2,1,1
116,2,1,1
117,2,1,1
118,2,1,1
119,2,1,1
120,2,1,1
121,2,1,1
122,2,1,1
123,2,1,1
124,2,1,1
125,2,1,1
126,2,1,1
127,2,1,1
128,2,1,1
129,2,1,1
130,2,1,1
131,2,1,1
132,2,1,1
133,2,1,1
134,2,1,1
135,2,1,1
136,2,1,1
137,2,1,1
138,2,1,1
139,2,1,1
140,2,1,1
141,2,1,1
142,2,1,1
143,2,1,1
144,2,1,1
145,2,1,1
146,2,1,1
147,2,1,1
148,2,1,1
149,2,1,1
150,2,1,1
151,2,1,1
152,2,1,1
153,2,1,1
154,2,1,1
155,2,1,1
156,2,1,1
157,2,1,1
158,2,1,1
159,2,1,1
160,2,1,1
161,2,1,1
162,2,1,1
163,2,1,1
164,2,1,1
165,2,1,1
166,2,1,1
167,2,1,1
168,2,1,1
169,2,1,1
170,2,1,1
171,2,1,1
172,2,1,1
173,2,1,1
174,2,1,1
175,2,1,1
176,2,1,1
177,2,1,1
178,2,1,1
179,2,1,1
180,2,1,1
181,2,1,1
182,2,1,1
183,2,1,1
184,2,1,1
185,2,1,1
186,2,1,2
187,2,1,2
188,2,1,2
189,2,1,2
190,2,1,2
191,2,1,2
192,2,1,2
193,2,1,2
194,2,1,2
195,2,1,2
196,2,1,2
197,2,1,2
198,2,1,2
199,2,1,2
200,2,1,2
201,2,1,2
202,2,1,2